title,location,building_location1,building_location2,area,direction,type,description,price
力高共和城,长丰,北城,力高共和城,80,南,2室2厅1卫,HF1717113561152487424,1000
南空花园小区,肥西,桃花工业园,南空花园小区,20,南,1室1厅1卫,HF1718840680534507520,1100
润地星城,长丰,北城,润地星城,88,南,2室2厅1卫,HF1718821430444949504,600
瑶东北村,新站,七里塘,瑶东北村,84,南,2室2厅1卫,HF1716309815296262144,1100
兴海苑D区,新站,七里塘,兴海苑D区,62,南,2室1厅1卫,HF1714177454920171520,1000
丽水天锦苑,瑶海,龙岗,丽水天锦苑,78,南,2室1厅1卫,HF1682217673401827328,1050
保利罗兰香谷,新站,磨店,保利罗兰香谷,119,南,3室2厅2卫,HF1688041961287581696,600
景河花园,肥东,肥东,景河花园,80,南 北,2室2厅1卫,HF1697164194333327360,800
北岗花园,新站,站北,北岗花园,89,南 北,2室1厅1卫,HF1708355484056027136,1100
矿机小区,瑶海,明光路,矿机小区,40,南,1室1厅1卫,HF1718605176652169216,1000
滨河家园,肥西,新港,滨河家园,55,南,1室1厅1卫,HF1709452343780573184,1000
文一锦门北韵,长丰,北城,文一锦门北韵,110,南,3室1厅1卫,HF1687468718164017152,700
恒泰城品湖畔,长丰,北城,恒泰城品湖畔,102,南,3室2厅1卫,HF1620266764761825280,700
翰林水岸,肥西,肥西,翰林水岸,95,东南,3室2厅1卫,HF1678596235331633152,1000
华润凯旋门,政务,荷叶地,华润凯旋门,170,南,2室1厅1卫,HF1634904799067504640,6000
合肥融创一号院融公馆,政务,荷叶地,合肥融创一号院融公馆,50,东南,1室1厅1卫,HF1697836852637073408,4200
栢悦中心,政务,荷叶地,栢悦中心,66,北,1室1厅1卫,HF1675444973643759616,4300
中国铁建青秀城,蜀山,五里墩,中国铁建青秀城,63,南,1室1厅0卫,HF1677150728952479744,4300
融创城创泽园,经开,芙蓉,融创城创泽园,129,南,4室2厅1卫,HF1717038158941519872,5600
置地栢悦公馆,政务,荷叶地,置地栢悦公馆,171,南,3室2厅2卫,HF1567014944036093952,8500
华润凯旋门,政务,荷叶地,华润凯旋门,113,南,3室2厅1卫,HF1690345949454401536,6000
恒大中央广场,瑶海,胜利路,恒大中央广场,146,南,3室2厅2卫,HF1718950358933307392,4500
华府骏苑二期,蜀山,南七,华府骏苑二期,153,南,3室3厅2卫,HF1573507897864749056,4000
信地华地城,肥西,繁华新园,信地华地城,194,北,1室0厅0卫,HF1664478784247562240,8500
保利海上五月花D区,滨湖新区,环湖CBD,保利海上五月花D区,425,南,5室2厅2卫,HF1661329987325657088,23000
皖新朗诗麓院,高新,蜀麓,皖新朗诗麓院,158,南 北,4室2厅2卫,HF1680422444168380416,4000
岭湖墅,高新,蜀麓,岭湖墅,246,南,4室2厅2卫,HF1706290516842250240,6000
金域华府,蜀山,西园,金域华府,113,东 南 北,3室1厅1卫,HF1696733954108817408,4000
恒基旭辉铂悦天汇,滨湖新区,方兴,恒基旭辉铂悦天汇,191,南,4室2厅3卫,HF1714239053827670016,4000
华润凯旋门二期,政务,荷叶地,华润凯旋门二期,136,南 北,3室2厅2卫,HF1705825553233215488,6000
华润凯旋门,政务,荷叶地,华润凯旋门,145,南,3室2厅2卫,HF1700000139608850432,6200
金域华府,蜀山,西园,金域华府,210,西南,4室2厅2卫,HF1690673502887084032,7800
华润凯旋门,政务,荷叶地,华润凯旋门,112,南,2室1厅1卫,HF1667168415141330944,5500
置地栢悦公馆,政务,荷叶地,置地栢悦公馆,143,南 北,3室2厅2卫,HF1668464952937021440,7700
安粮云水居,政务,荷叶地,安粮云水居,126,南,4室2厅2卫,HF1700825097746513920,4500
新天地国际中心,庐阳,双岗,新天地国际中心,1600,南 北,1室1厅1卫,HF1711294366712070144,80000
万振逍遥苑一期,包河,周谷堆,万振逍遥苑一期,142,南,3室2厅1卫,HF1687016958643404800,4000
华润凯旋门,政务,荷叶地,华润凯旋门,114,南,3室2厅2卫,HF1650803484712239104,6500
华邦光明世家,蜀山,南七,华邦光明世家,100,南,4室2厅1卫,HF1719239770288160768,4200
尚泽大都会,经开,莲花,尚泽大都会,96,南,3室2厅1卫,HF1700350967070851072,4000
置地栢悦公馆,政务,荷叶地,置地栢悦公馆,142,南,3室2厅2卫,HF1707009677243449344,6500
祥源城三期,高新,长宁,祥源城三期,49,南,1室0厅0卫,HF1714214640885432320,7500
湖畔徽映阁,政务,荷叶地,湖畔徽映阁,135,南,3室2厅2卫,HF1704808345950486528,6500
大富鸿学府,蜀山,三里庵,大富鸿学府,105,南,2室2厅1卫,HF1688459851354603520,4000
和昌中央城邦,包河,工业园,和昌中央城邦,164,南 北,5室0厅0卫,HF1714560845003882496,8000
华润凯旋门,政务,荷叶地,华润凯旋门,112,南 北,3室2厅2卫,HF1707366140151332864,6500
皖投家园,包河,芜湖路,皖投家园,255,南 北,4室2厅2卫,HF1671436390300123136,5000
和昌都汇华府,包河,周谷堆,和昌都汇华府,121,南,4室2厅2卫,HF1712398281872506880,4200
华润凯旋门,政务,荷叶地,华润凯旋门,114,南 北,3室2厅2卫,HF1706889228241076224,7200
恒大中央广场,瑶海,胜利路,恒大中央广场,143,南,2室1厅0卫,HF1629322554567032832,7500
幸福金色年华,高新,长宁,幸福金色年华,120,东,1室1厅0卫,HF1718852978099617792,8500
恒大中央广场,瑶海,胜利路,恒大中央广场,300,南,4室0厅0卫,HF2866724153476784128,13500
万科森林公园锦庭,庐阳,森林公园,万科森林公园锦庭,128,南,3室2厅2卫,HF1668110262260989952,4000
万科森林公园雅庭,庐阳,森林公园,万科森林公园雅庭,144,南,4室2厅2卫,HF1674326876195127296,4500
天鹅湖一号,政务,荷叶地,天鹅湖一号,139,南,4室2厅2卫,HF1718564110083293184,6500
阳光城·悦澜府,包河,周谷堆,阳光城·悦澜府,122,南 北,3室2厅2卫,HF1673626449526915072,4000
万达悦湖苑,滨湖新区,环湖CBD,万达悦湖苑,337,东,1室1厅1卫,HF1712815710767415296,8000
北辰旭辉中心,庐阳,森林公园,北辰旭辉中心,205,南,3室0厅0卫,HF1640659213724155904,24600
慧谷创业园,高新,兴园,慧谷创业园,211,南,6室4厅2卫,HF1712095711819988992,6900
香樟雅苑,蜀山,南七,香樟雅苑,201,南,4室2厅1卫,HF1719284814424571904,4000
江山印,滨湖新区,义城,江山印,153,南 北,4室2厅2卫,HF1681511115445501952,4000
绿苑,经开,莲花,绿苑,206,南 北,4室2厅2卫,HF1671056630646571008,9000
合肥融创一号院融公馆,政务,荷叶地,合肥融创一号院融公馆,51,西北,1室1厅1卫,HF1717765640531476480,4000
省委大院,庐阳,逍遥津,省委大院,120,南,3室2厅2卫,HF1607627101077241856,6000
上城国际新界,庐阳,杏林,上城国际新界,103,南,3室2厅1卫,HF2895659750459457536,11000
融创长江壹号,庐阳,杏花村,融创长江壹号,283,南,3室1厅1卫,HF1670372265742565376,4500
当代MOMA,政务,南七,当代MOMA,169,南,4室2厅1卫,HF1701887551553404928,6500
万科高第,高新,兴园,万科高第,260,南 北,4室2厅2卫,HF1678631288124211200,4800
中海原山,蜀山,新产业园,中海原山,393,南,5室2厅1卫,HF1714918894004600832,9500
安高城市天地,蜀山,稻香村,安高城市天地,140,南,4室2厅2卫,HF1715658225111531520,4200
华润昆仑御,滨湖新区,烟墩,华润昆仑御,53,南,1室1厅1卫,HF1715683141361860608,8000
CBD中央广场,庐阳,三孝口,CBD中央广场,303,西南,6室3厅2卫,HF1716054510566113280,12000
港汇广场,蜀山,南七,港汇广场,100,南 北,3室0厅2卫,HF1716037170315132928,4400
天鹅湖MOMΛ,政务,荷叶地,天鹅湖MOMΛ,184,南 北,4室2厅2卫,HF1716372751381430272,10000
中辰优唐广场,包河,常青,中辰优唐广场,55,南,2室2厅1卫,HF1716658756969824256,4500
绿地中心,包河,常青,绿地中心,77,南,3室1厅0卫,HF1687668022300377088,7300
华润凯旋门,政务,荷叶地,华润凯旋门,145,南,3室2厅2卫,HF1702288621706412032,8500
绿地海顿公馆B,包河,周谷堆,绿地海顿公馆B,1300,南,9室3厅3卫,HF1715962067229343744,50000
金域华府,蜀山,西园,金域华府,110,南,3室1厅1卫,HF1683095901721067520,4000
蔚蓝商务港,政务,荷叶地,蔚蓝商务港,300,南,1室0厅0卫,HF1698939332510875648,14620
内森庄园,政务,笔架山,内森庄园,274,南 北,4室2厅3卫,HF1708755314163056640,16500
西湖国际广场,蜀山,稻香村,西湖国际广场,144,东南,1室1厅1卫,HF1677904463211266048,7000
公元天下,滨湖新区,烟墩,公元天下,460,南,1室1厅1卫,HF1686245788922937344,34500
西湖国际广场,蜀山,稻香村,西湖国际广场,179,东南,1室1厅1卫,HF1677905147893645312,8600
西湖国际广场,蜀山,稻香村,西湖国际广场,87,东北,3室1厅1卫,HF1672090625341652992,5000
天鹅湖畔小区,政务,笔架山,天鹅湖畔小区,116,南,2室2厅1卫,HF1673899515473559552,4300
安高城市天地,蜀山,稻香村,安高城市天地,136,南,4室2厅2卫,HF1673613415903395840,4200
新地中心,政务,荷叶地,新地中心,187,南,3室2厅2卫,HF1673696478763155456,7000
凤凰城家家景园三期,蜀山,井岗镇,凤凰城家家景园三期,151,南,3室2厅1卫,HF1673955489131528192,6500
蓝光雍锦半岛,高新,长宁,蓝光雍锦半岛,280,南,4室1厅2卫,HF1674002417097637888,5000
华邦蜀山里,蜀山,新产业园,华邦蜀山里,20,西,1室0厅0卫,HF1674240049815748608,4800
万科中心,庐阳,四里河,万科中心,573,西北,1室1厅1卫,HF1684470164256456704,40100
三盛颐景园,政务,笔架山,三盛颐景园,538,东 北 东北,1室1厅0卫,HF1719226209071529984,35000
信旺华府骏苑,蜀山,南七,信旺华府骏苑,157,南,3室2厅2卫,HF1677883800371068928,4000
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,63,西,1室0厅0卫,HF1707997191173308416,6900
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,53,南,1室1厅1卫,HF1714475698007048192,10000
CBC拓基广场,蜀山,新产业园,CBC拓基广场,210,南,5室1厅0卫,HF1719328131954769920,7000
万达未来塔,滨湖新区,环湖CBD,万达未来塔,300,北,4室0厅0卫,HF1719206251759403008,15000
蓝光雍锦半岛,高新,长宁,蓝光雍锦半岛,137,南,4室2厅2卫,HF1688790170431651840,4000
万达银座,滨湖新区,环湖CBD,万达银座,500,南 北,1室1厅1卫,HF1673254699467276288,20000
蓝鼎滨湖假日枫丹园,滨湖新区,滨湖世纪,蓝鼎滨湖假日枫丹园,110,东 西,3室1厅1卫,HF1669924149981609984,8200
华润凯旋门,政务,荷叶地,华润凯旋门,114,南,3室2厅1卫,HF1701505881788645376,5000
华润凯旋门,政务,荷叶地,华润凯旋门,113,南,3室2厅2卫,HF1679101085500833792,5500
朗峰大厦,庐阳,海棠,朗峰大厦,60,北,1室1厅1卫,HF1719595183621799936,4000
华润凯旋门,政务,荷叶地,华润凯旋门,114,南,3室1厅1卫,HF1684186391191224320,5000
金域华府,蜀山,西园,金域华府,136,南,3室2厅2卫,HF1705953773500760064,5200
世茂翡翠首府,经开,芙蓉,世茂翡翠首府,1109,南,20室9厅1卫,HF1706517649317429248,65000
中海原山,蜀山,新产业园,中海原山,143,南,4室2厅2卫,HF1705480967734427648,4500
华润凯旋门,政务,荷叶地,华润凯旋门,113,南 北,3室2厅2卫,HF1694713976660688896,6000
华润凯旋门,政务,荷叶地,华润凯旋门,112,南,2室2厅1卫,HF1627981194400366592,5000
万振逍遥苑二期,包河,周谷堆,万振逍遥苑二期,189,南,4室2厅2卫,HF1687807678836899840,5500
星海城,包河,包公,星海城,185,东南,3室0厅0卫,HF1689142574264090624,5980
拓基金座,高新,天乐,拓基金座,191,南,1室0厅0卫,HF1684141999856287744,7900
绿地海顿公馆B,包河,周谷堆,绿地海顿公馆B,134,南 北,3室3厅2卫,HF1694562070185377792,4000
御景山庄,高新,天乐,御景山庄,249,南,7室2厅3卫,HF1704695153265999872,14000
金水童话名苑,经开,莲花,金水童话名苑,117,南,4室2厅1卫,HF1676913695050956800,4100
CBC拓基广场,蜀山,新产业园,CBC拓基广场,201,南,4室3厅0卫,HF1666665200947822592,7000
绿地乔治庄园,高新,蜀麓,绿地乔治庄园,361,南,4室2厅4卫,HF1701454419133988864,15000
绿地乔治庄园,高新,蜀麓,绿地乔治庄园,161,南,4室2厅2卫,HF1694207834872348672,5000
文一名门学府里,高新,长宁,文一名门学府里,208,北,1室1厅1卫,HF2861644489381396480,4020
保利西山林语,高新,蜀麓,保利西山林语,352,南,4室3厅4卫,HF1681161168841867264,4500
旭辉公园府,新站,东站,旭辉公园府,398,南,3室2厅2卫,HF2872538771788660736,4200
CBD中央广场,庐阳,三孝口,CBD中央广场,218,西南,4室3厅2卫,HF1691331207213613056,4200
华地森林语,长丰,北城,华地森林语,85,南,1室1厅1卫,HF1718906528108380160,4000
华商广场,肥西,桃花工业园,华商广场,300,西南,1室2厅1卫,HF2906515836749750272,5500
三盛颐景园,政务,笔架山,三盛颐景园,538,东 北 东北,1室1厅0卫,HF1719226209071529984,35000
信旺华府骏苑,蜀山,南七,信旺华府骏苑,157,南,3室2厅2卫,HF1677883800371068928,4000
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,63,西,1室0厅0卫,HF1707997191173308416,6900
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,53,南,1室1厅1卫,HF1714475698007048192,10000
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,63,西,1室0厅0卫,HF1707994856472707072,6900
创景花园,包河,芜湖路,创景花园,146,南 北,3室2厅2卫,HF1673219646687281152,4600
蔚蓝商务港,政务,荷叶地,蔚蓝商务港,300,南,1室0厅0卫,HF1698939332510875648,14620
内森庄园,政务,笔架山,内森庄园,274,南 北,4室2厅3卫,HF1708755314163056640,16500
国际花都丹若苑,政务,荷叶地,国际花都丹若苑,132,南 北,3室2厅1卫,HF1623248548323655680,4000
金隅南七里,蜀山,稻香村,金隅南七里,92,南,3室1厅1卫,HF1685204303741976576,4000
融创滨湖印,滨湖新区,方兴,融创滨湖印,140,南 北,4室2厅2卫,HF1707233367029710848,5000
祥源城,高新,长宁,祥源城,141,西,2室2厅1卫,HF1717145386889510912,8500
置地广场写字楼,政务,荷叶地,置地广场写字楼,570,南,1室1厅1卫,HF1718916903679819776,40000
望湖城桂香居金桂苑,包河,望湖,望湖城桂香居金桂苑,196,南 北,4室3厅2卫,HF2705577425948901376,4000
元一高尔夫别墅二期,长丰,北城,元一高尔夫别墅二期,350,南 北,7室5厅5卫,HF2647100229110996992,14000
安徽国际商务中心,包河,芜湖路,安徽国际商务中心,1498,南,9室0厅0卫,HF2597196552238284800,63000
兰亭园,瑶海,胜利路,兰亭园,175,南,1室1厅1卫,HF2884732115264471040,18000
万科森林公园曦园,庐阳,森林公园,万科森林公园曦园,140,南,4室2厅2卫,HF2733845693721477120,4000
新地中心,政务,荷叶地,新地中心,190,南,3室2厅2卫,HF2730254923953340416,13000
城建大厦,庐阳,亳州,城建大厦,321,东南 南 西 东北,6室2厅0卫,HF2728293882881114112,16000
置地栢悦公馆,政务,荷叶地,置地栢悦公馆,143,南,3室2厅2卫,HF2720831544926412800,8000
新地中心,政务,荷叶地,新地中心,118,南 北,3室2厅2卫,HF2753703710566645760,7000
旭辉湖山源著,高新,蜀麓,旭辉湖山源著,247,南,4室3厅3卫,HF2755183259951570944,8000
恒大华府,政务,兴园,恒大华府,184,南 北,3室2厅2卫,HF2757868874656653312,4600
中央花园,庐阳,双岗,中央花园,169,南 北,4室2厅2卫,HF2813105701130608640,5500
罗兰德小区,庐阳,三孝口,罗兰德小区,143,南,4室2厅2卫,HF2810191015116546048,5300
原树提香,肥西,桃花工业园,原树提香,406,南,6室2厅3卫,HF2821706837039259648,6000
保利西山林语,高新,蜀麓,保利西山林语,358,南,4室2厅2卫,HF2818696553533800448,4800
盛世名城丽景花园,蜀山,南七,盛世名城丽景花园,168,南,5室2厅2卫,HF2835547347852214272,4500
皖新朗诗绿郡,滨湖新区,环湖CBD,皖新朗诗绿郡,103,东,3室2厅1卫,HF2825195896420450304,5000
金隅南七里,蜀山,稻香村,金隅南七里,92,南,3室2厅1卫,HF1654085886100373504,4000
加侨国际广场,包河,望湖,加侨国际广场,86,南,1室1厅1卫,HF1701079857561075712,5600
公元天下,滨湖新区,烟墩,公元天下,79,南,1室1厅0卫,HF1665999556619272192,6000
信地华地城,肥西,繁华新园,信地华地城,194,北,1室0厅0卫,HF1664478784247562240,8500
三盛颐景园,政务,笔架山,三盛颐景园,538,东 北 东北,1室1厅0卫,HF1719226209071529984,35000
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,63,西,1室0厅0卫,HF1707997191173308416,6900
信旺华府骏苑,蜀山,南七,信旺华府骏苑,157,南,3室2厅2卫,HF1677883800371068928,4000
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,63,西,1室0厅0卫,HF1707994856472707072,6900
创景花园,包河,芜湖路,创景花园,146,南 北,3室2厅2卫,HF1673219646687281152,4600
武里山天街,新站,七里塘,武里山天街,70,东南,3室2厅2卫,HF1655872386047672320,6000
绿地瀛海国际大厦,包河,周谷堆,绿地瀛海国际大厦,120,南,3室1厅1卫,HF1719256580211343360,5400
置地投资广场,蜀山,琥珀,置地投资广场,120,南,2室1厅0卫,HF1626157280112148480,6500
华地学府名都,蜀山,南七,华地学府名都,133,南 北,4室2厅2卫,HF1676079238697975808,4200
CBC拓基广场,蜀山,新产业园,CBC拓基广场,210,南,5室1厅0卫,HF1719328131954769920,7000
蓝光雍锦半岛,高新,长宁,蓝光雍锦半岛,137,南,4室2厅2卫,HF1688790170431651840,4000
万达银座,滨湖新区,环湖CBD,万达银座,500,南 北,1室1厅1卫,HF1673254699467276288,20000
蓝鼎滨湖假日枫丹园,滨湖新区,滨湖世纪,蓝鼎滨湖假日枫丹园,110,东 西,3室1厅1卫,HF1669924149981609984,8200
人民巷八号大院,庐阳,三孝口,人民巷八号大院,106,南,3室2厅1卫,HF1684508184334565376,4200
天鹅湖MOMΛ,政务,荷叶地,天鹅湖MOMΛ,61,东 南,1室1厅0卫,HF1684783025482629120,4000
合作经济广场,庐阳,三孝口,合作经济广场,62,南,2室1厅1卫,HF1684529043283640320,6200
天鹅湖九号,政务,荷叶地,天鹅湖九号,97,南,3室2厅1卫,HF1684544399905652736,4200
CBC拓基广场,蜀山,新产业园,CBC拓基广场,160,东北,1室1厅0卫,HF1684874989674692608,6500
华地翡翠公园,肥西,肥西,华地翡翠公园,105,南 北,2室2厅1卫,HF1684431826120081408,5000
万科中心,庐阳,四里河,万科中心,147,西北,1室1厅1卫,HF1684469125839060992,10300
中辰优唐广场,包河,常青,中辰优唐广场,99,南 北,3室1厅1卫,HF1684813178996785152,5000
置地广场写字楼,政务,荷叶地,置地广场写字楼,147,南,1室0厅0卫,HF1684782235934261248,10000
南湖春城,经开,海恒,南湖春城,80,西北,1室1厅1卫,HF1684920717017088000,6500
中海财富广场,滨湖新区,环湖CBD,中海财富广场,345,南,1室0厅0卫,HF1684899914938580992,16560
置地栢悦公馆,政务,荷叶地,置地栢悦公馆,235,南 北,4室2厅3卫,HF1685892081156882432,15000
九华山庄,包河,芜湖路,九华山庄,175,南 北,4室2厅2卫,HF1718094595243376640,5800
书缘居,经开,芙蓉,书缘居,316,南,5室4厅3卫,HF1576194302399217664,5500
依澜雅居,经开,海恒,依澜雅居,463,南,6室2厅2卫,HF1693102487478730752,8000
安粮兰桂公寓,蜀山,琥珀,安粮兰桂公寓,145,南,3室2厅2卫,HF1697241051649015808,4500
天鹅湖MOMΛ,政务,荷叶地,天鹅湖MOMΛ,95,南,3室2厅1卫,HF1693843996087943168,5100
内森庄园,政务,笔架山,内森庄园,275,南,4室3厅3卫,HF1695282728892628992,9000
保利海上五月花C区,滨湖新区,环湖CBD,保利海上五月花C区,61,西北,1室0厅0卫,HF2887532815808217088,6000
置地广场写字楼,政务,荷叶地,置地广场写字楼,115,南,1室0厅0卫,HF1702556677384962048,8625
龙湖·景粼玖序,包河,工业园,龙湖·景粼玖序,63,西,1室0厅0卫,HF1707994856472707072,6900
创景花园,包河,芜湖路,创景花园,146,南 北,3室2厅2卫,HF1673219646687281152,4600
蔚蓝商务港,政务,荷叶地,蔚蓝商务港,300,南,1室0厅0卫,HF1698939332510875648,14620
内森庄园,政务,笔架山,内森庄园,274,南 北,4室2厅3卫,HF1708755314163056640,16500
国际花都丹若苑,政务,荷叶地,国际花都丹若苑,132,南 北,3室2厅1卫,HF1623248548323655680,4000
金隅南七里,蜀山,稻香村,金隅南七里,92,南,3室1厅1卫,HF1685204303741976576,4000
融创滨湖印,滨湖新区,方兴,融创滨湖印,140,南 北,4室2厅2卫,HF1707233367029710848,5000
世纪中心,庐阳,双岗,世纪中心,96,南,3室0厅0卫,HF2764517003951095808,4000
天鹅湖九号,政务,荷叶地,天鹅湖九号,96,南,3室2厅1卫,HF1699065258217308160,4000
世纪中心,庐阳,双岗,世纪中心,96,南,3室0厅0卫,HF2764517003951095808,4000
天鹅湖九号,政务,荷叶地,天鹅湖九号,96,南,3室2厅1卫,HF1699065258217308160,4000
世纪中心,庐阳,双岗,世纪中心,791,南,5室1厅1卫,HF1612420490754785280,71280
华润凯旋门二期,政务,荷叶地,华润凯旋门二期,85,南,2室1厅1卫,HF2836827507901071360,4800
维也纳森林花园,蜀山,南七,维也纳森林花园,100,南,1室1厅1卫,HF2829642407820673024,6000
大鹏怡和华庭,瑶海,龙岗,大鹏怡和华庭,69,南,3室3厅1卫,HF2832647644520644608,6500
原树提香,肥西,桃花工业园,原树提香,278,南,6室2厅2卫,HF2832681550184202240,5000
华润大厦,政务,荷叶地,华润大厦,154,东,3室0厅0卫,HF1719196969726902272,11000
万达未来塔,滨湖新区,环湖CBD,万达未来塔,300,北,4室0厅0卫,HF1719206251759403008,15000
华润昆仑御,滨湖新区,烟墩,华润昆仑御,114,南,1室1厅1卫,HF1707704257798471680,8000
万科高第,高新,兴园,万科高第,103,南,3室2厅1卫,HF1718986179233185792,4000
