title,location,building_location1,building_location2,area,direction,type,description,price
浦江大楼,闵行,老闵行,浦江大楼,69,南 北,2室1厅1卫,SH1702967718925303808,3900
长白三村,杨浦,黄兴公园,长白三村,28,北,1室0厅1卫,SH1700806533769592832,3900
海伦堡爱ME城市,嘉定,南翔,海伦堡爱ME城市,71,南,1室1厅1卫,SH1703017687954751488,3700
钰丰商都,松江,泗泾,钰丰商都,63,南,2室1厅2卫,SH1702981654802333696,3900
新凯城兰馨苑,松江,泗泾,新凯城兰馨苑,71,南,2室1厅1卫,SH1700855474603163648,3900
长江路28弄,宝山,淞南,长江路28弄,59,南,2室1厅1卫,SH1701081241144524800,4000
瑞和雅苑叁街区,闵行,闵浦,瑞和雅苑叁街区,65,南,1室1厅1卫,SH1701173629661741056,4000
控江东三村,杨浦,黄兴公园,控江东三村,34,南,1室1厅1卫,SH1701152861561290752,4000
控江路888弄,杨浦,控江路,控江路888弄,31,南,1室1厅1卫,SH1701458285732823040,4000
天蒲小区,长宁,北新泾,天蒲小区,32,南,1室1厅1卫,SH1701505633850753024,4200
霍山路1200弄,杨浦,东外滩,霍山路1200弄,38,南,1室0厅1卫,SH1701529554176180224,3700
天居玲珑湾,嘉定,徐行,天居玲珑湾,85,南,2室2厅1卫,SH1701582865768120320,4000
临汾花园,静安,彭浦,临汾花园,50,南,1室1厅1卫,SH1701802171286159360,4100
凌二小区,浦东,洋泾,凌二小区,35,南,1室1厅1卫,SH1701808891307753472,4000
东荡小区,徐汇,上海南站,东荡小区,42,南,1室1厅1卫,SH1704776250070925312,4100
沂南路54弄,浦东,南码头,沂南路54弄,32,南,1室1厅1卫,SH1704773083585314816,4100
延平路482弄,静安,曹家渡,延平路482弄,27,北,1室1厅1卫,SH1704780264858714112,4200
天山三村,长宁,中山公园,天山三村,31,南,1室1厅1卫,SH1704756659479379968,4100
宜达新居,青浦,夏阳,宜达新居,77,南,2室1厅1卫,SH1702889173762965504,4000
西上海御庭,嘉定,安亭,西上海御庭,90,南,2室2厅1卫,SH1702911213807075328,3600
柳营路1025弄,静安,大宁,柳营路1025弄,34,南 北,1室1厅1卫,SH1702906623732744192,4000
汇成五村,徐汇,上海南站,汇成五村,33,南,1室0厅1卫,SH1704828415833538560,3600
三泉路424弄,静安,彭浦,三泉路424弄,38,南,1室1厅1卫,SH1702952698439008256,4000
世纪新城,松江,松江新城,世纪新城,91,南,2室2厅2卫,SH1703295599564029952,4200
奎照路790弄,虹口,凉城,奎照路790弄,47,南,1室1厅1卫,SH1706600743512834048,4100
凤城二村,杨浦,控江路,凤城二村,42,东南,1室0厅1卫,SH1706645021744168960,4200
塘泾北苑,闵行,吴泾,塘泾北苑,64,南,2室1厅1卫,SH1709126486004334592,4000
光华坊,静安,西藏北路,光华坊,37,南,1室1厅1卫,SH1709138712975114240,4000
场中路2401弄,静安,彭浦,场中路2401弄,35,南,1室1厅1卫,SH1709132512246104064,4000
银都二村,静安,彭浦,银都二村,36,南,1室1厅1卫,SH1709151796204666880,4000
菊泉新城(菊盛路50弄),宝山,顾村,菊泉新城(菊盛路50弄),55,南,2室1厅1卫,SH1707367348962328576,3800
紫东新苑,松江,松江新城,紫东新苑,84,南,2室2厅1卫,SH1709415262203150336,3600
逸仙路1321弄,宝山,高境,逸仙路1321弄,41,南,1室1厅1卫,SH1709416759041196032,4000
菊泉新城(陆翔路698弄),宝山,顾村,菊泉新城(陆翔路698弄),62,南,2室1厅1卫,SH1705200999657897984,3900
明发嘉定中心,嘉定,嘉定新城,明发嘉定中心,53,东,2室2厅1卫,SH1705439835650523136,3800
吉浦路615弄,宝山,高境,吉浦路615弄,48,南,1室1厅1卫,SH1702181822529536000,3800
华侨城loft,闵行,浦江,华侨城loft,31,北,1室1厅1卫,SH1705518603647844352,3600
好日子大家园B区,宝山,顾村,好日子大家园B区,76,南 北,2室1厅1卫,SH1690732442014449664,3800
恒都广场,松江,松江新城,恒都广场,32,西北,2室1厅1卫,SH1684219336828387328,3800
闻喜路251弄,静安,彭浦,闻喜路251弄,37,南,1室1厅1卫,SH1684552232206336000,3800
园南新村,徐汇,植物园,园南新村,37,南,1室1厅1卫,SH1684765488132915200,4000
碧桂园浦东星作,浦东,泥城镇,碧桂园浦东星作,90,南,3室2厅2卫,SH1684765109164965888,3800
工农二村,杨浦,中原,工农二村,41,南,1室1厅1卫,SH1691397446975881216,3900
鹤北新村二街坊,闵行,老闵行,鹤北新村二街坊,78,南,2室1厅1卫,SH1685199914444783616,4200
祁连二村,宝山,上大,祁连二村,42,南,1室1厅1卫,SH1685196637514760192,3800
控江东三村,杨浦,黄兴公园,控江东三村,34,南,1室1厅1卫,SH1701152861561290752,4000
长丰坊,徐汇,康健,长丰坊,43,南,1室1厅1卫,SH1702671931536310272,4200
逸庭苑,松江,松江新城,逸庭苑,87,南,3室1厅1卫,SH1702880518271401984,4200
旭辉·公元,嘉定,安亭,旭辉·公元,70,南 北,2室2厅1卫,SH1702877103290056704,4200
鹤北新村,闵行,老闵行,鹤北新村,62,南,2室1厅1卫,SH1704475474391990272,3800
海尚明城,宝山,杨行,海尚明城,62,南,1室1厅1卫,SH1709462897299554304,3900
练祁佳城阳光嘉苑,嘉定,菊园新区,练祁佳城阳光嘉苑,96,南,3室1厅1卫,SH1706963387038040064,3600
晶鼎大厦,嘉定,嘉定新城,晶鼎大厦,50,南,2室1厅1卫,SH1706885299449102336,3600
控江四村,杨浦,黄兴公园,控江四村,49,东 西,1室1厅1卫,SH1706972552288534528,4000
俞一小区,徐汇,龙华,俞一小区,34,南,1室0厅1卫,SH1706976861860397056,4200
长桥一村,徐汇,长桥,长桥一村,46,南,2室1厅1卫,SH1709565895103217664,4200
新凯城紫竹苑,松江,泗泾,新凯城紫竹苑,70,南,2室1厅1卫,SH1708026720134627328,4100
滨浦新苑九村,闵行,浦江,滨浦新苑九村,60,南,1室1厅1卫,SH1707253716475707392,3800
桃浦一村合欢苑,普陀,桃浦,桃浦一村合欢苑,39,南,1室1厅1卫,SH1707290204286484480,4200
菊泉新城(陆翔路678弄),宝山,顾村,菊泉新城(陆翔路678弄),80,东 西,2室2厅1卫,SH1707599592788328448,3800
华一小区,虹口,凉城,华一小区,45,南,1室1厅1卫,SH1709832228680237056,3800
吉浦路615弄,宝山,高境,吉浦路615弄,46,南,1室1厅1卫,SH1709819977298608128,4000
彭新小区,静安,彭浦,彭新小区,41,南,1室1厅1卫,SH1707642580096778240,4000
桃浦十村（紫藤苑小区银杏路120弄）,普陀,桃浦,桃浦十村（紫藤苑小区银杏路120弄）,61,南,1室1厅1卫,SH1707723103993331712,4200
大二小区,虹口,曲阳,大二小区,31,南,1室1厅1卫,SH1707717814543974400,3950
共康八村,宝山,共康,共康八村,52,南,1室1厅1卫,SH1707959995645034496,3800
东四小区,虹口,曲阳,东四小区,40,南,1室0厅1卫,SH1708008224109625344,4100
丰华苑,嘉定,江桥,丰华苑,64,南,2室1厅1卫,SH1708000195775561728,4000
保德路1010弄,静安,彭浦,保德路1010弄,35,南,1室1厅1卫,SH1710145070625193984,4000
万乐城(商业类),闵行,吴泾,万乐城(商业类),44,南,2室0厅1卫,SH1692507542879469568,3999
万乐城(商业类),闵行,吴泾,万乐城(商业类),44,南,2室0厅2卫,SH1692504868876451840,3999
金丰小区北区（121弄）,闵行,华漕,金丰小区北区（121弄）,75,南 北,3室1厅1卫,SH1692535922454691840,4000
光明九胤,奉贤,南桥,光明九胤,87,南 北,3室1厅1卫,SH1692753830485164032,3600
澜茵华庭,嘉定,江桥,澜茵华庭,73,南 北,2室1厅1卫,SH1692803317928820736,4000
新天地荻泾花园,宝山,顾村,新天地荻泾花园,92,南 北,2室2厅1卫,SH1697927229889052672,3900
华二小区(虹口),虹口,凉城,华二小区(虹口),41,南,1室1厅1卫,SH1697905242223411200,3700
汇福家园安康里(东区),浦东,周浦,汇福家园安康里(东区),78,南,2室1厅1卫,SH1694267444551483392,4200
淞南三村,宝山,淞南,淞南三村,42,南,1室1厅1卫,SH1694566778333560832,3800
牡丹江路182弄,宝山,淞宝,牡丹江路182弄,40,南,1室1厅1卫,SH1686726061624131584,3700
景江苑E区,闵行,浦江,景江苑E区,75,南 北,2室1厅1卫,SH1693947076431314944,3800
密二小区,虹口,曲阳,密二小区,36,南,1室1厅1卫,SH1693940842961567744,4200
长达佳苑宜居尚城,浦东,航头,长达佳苑宜居尚城,92,南 北,2室2厅1卫,SH1689203636460060672,3800
铂悦公馆,青浦,盈浦,铂悦公馆,56,北,1室1厅1卫,SH1687398860512559104,3750
上城院子,宝山,顾村,上城院子,101,南 北,3室2厅2卫,SH1689236962185052160,3800
运四小区,虹口,曲阳,运四小区,32,南,1室1厅1卫,SH1688520692275871744,4100
东川花苑,闵行,老闵行,东川花苑,58,南,2室1厅1卫,SH1688540378782760960,3800
延吉四村,杨浦,黄兴公园,延吉四村,34,南,1室1厅1卫,SH1686373741220593664,4200
万科早城(二期),闵行,浦江,万科早城(二期),70,南,1室1厅1卫,SH1686674237588242432,4200
灵新小区,虹口,凉城,灵新小区,33,南,1室0厅1卫,SH1692378388724973568,4200
慧华东苑,宝山,上大,慧华东苑,78,南,2室1厅1卫,SH1692420080492609536,4000
德华一村,嘉定,南翔,德华一村,58,南,2室1厅1卫,SH1692509329057382400,4200
旭辉·公元,嘉定,安亭,旭辉·公元,69,南,2室1厅1卫,SH1692456695806033920,3800
东泉苑小区,普陀,甘泉宜川,东泉苑小区,38,南,1室1厅1卫,SH1692529695263817728,4000
延吉东路555弄,杨浦,控江路,延吉东路555弄,40,南,1室1厅1卫,SH1691679048045953024,4000
新凯城银杏苑,松江,泗泾,新凯城银杏苑,72,南,2室1厅1卫,SH1685515467529125888,3800
控江六村,杨浦,黄兴公园,控江六村,31,南,1室1厅1卫,SH1684058701607993344,3600
银都二村,静安,彭浦,银都二村,35,南,1室1厅1卫,SH1685865688066949120,4100
宜川六村,普陀,甘泉宜川,宜川六村,44,南,2室0厅1卫,SH1691816039471382528,3880
维罗纳贵都,松江,松江老城,维罗纳贵都,104,南,2室2厅1卫,SH1685859784433074176,4200
新凯城锦昌苑,松江,泗泾,新凯城锦昌苑,69,南,2室1厅1卫,SH1692038021051842560,3900
达丰新村,普陀,武宁,达丰新村,30,南,1室1厅1卫,SH1692411117554368512,4200
崧泽华城逸泰雅苑（二期）,青浦,赵巷,崧泽华城逸泰雅苑（二期）,69,南,3室1厅1卫,SH1692400916822491136,3700
慧华东苑,宝山,上大,慧华东苑,78,南,2室1厅1卫,SH1692420080492609536,4000
菊泉新城(陆翔路678弄),宝山,顾村,菊泉新城(陆翔路678弄),78,南 北,2室1厅1卫,SH1692420926496309248,4200
松花江路2591弄,虹口,曲阳,松花江路2591弄,31,南,1室1厅1卫,SH1692433877538177024,4000
东泉苑小区,普陀,甘泉宜川,东泉苑小区,38,南,1室1厅1卫,SH1692529695263817728,4000
彭新小区,静安,彭浦,彭新小区,29,南,1室0厅1卫,SH1692756718783561728,4000
九峰小区,松江,松江老城,九峰小区,69,南,2室1厅1卫,SH1704476554106503168,3600
大宁路660弄,静安,大宁,大宁路660弄,29,南 北,1室1厅1卫,SH1704488717562937344,4000
金坤花园,闵行,金汇,金坤花园,42,北,1室0厅1卫,SH1704496348352479232,4200
馨佳园(菊泉街1280弄),宝山,顾村,馨佳园(菊泉街1280弄),54,南,1室1厅1卫,SH1704713890878717952,4000
控江路888弄,杨浦,控江路,控江路888弄,31,南,1室1厅1卫,SH1701458285732823040,4000
天蒲小区,长宁,北新泾,天蒲小区,32,南,1室1厅1卫,SH1701505633850753024,4200
霍山路1200弄,杨浦,东外滩,霍山路1200弄,38,南,1室0厅1卫,SH1701529554176180224,3700
天居玲珑湾,嘉定,徐行,天居玲珑湾,85,南,2室2厅1卫,SH1701582865768120320,4000
临汾花园,静安,彭浦,临汾花园,50,南,1室1厅1卫,SH1701802171286159360,4100
凌二小区,浦东,洋泾,凌二小区,35,南,1室1厅1卫,SH1701808891307753472,4000
东荡小区,徐汇,上海南站,东荡小区,42,南,1室1厅1卫,SH1704776250070925312,4100
宜达新居,青浦,夏阳,宜达新居,77,南,2室1厅1卫,SH1702889173762965504,4000
汇成五村,徐汇,上海南站,汇成五村,33,南,1室0厅1卫,SH1704828415833538560,3600
开鲁二村,杨浦,中原,开鲁二村,41,南,1室1厅1卫,SH1702915915999346688,3800
瑞和明庭西区,青浦,徐泾,瑞和明庭西区,75,南,2室1厅1卫,SH1705069468939452416,3700
中山北一路140弄,虹口,鲁迅公园,中山北一路140弄,30,南,1室0厅1卫,SH1709100570557546496,3700
姚西小区,静安,曹家渡,姚西小区,20,北,1室0厅1卫,SH1708054431016157184,3800
江桥万达广场(嘉定),嘉定,江桥,江桥万达广场(嘉定),55,南,1室1厅1卫,SH1694559968222511104,4200
新凯一期,松江,泗泾,新凯一期,76,南 西 北,2室2厅1卫,SH1698221286397837312,4200
崧泽华城秀景苑,青浦,赵巷,崧泽华城秀景苑,70,南 北,2室1厅1卫,SH1698261482271145984,3700
康桥宝邸,浦东,康桥,康桥宝邸,60,南,1室1厅1卫,SH1694720133987041280,3700
盛宅新村,宝山,顾村,盛宅新村,78,南 北,2室1厅1卫,SH1698592383400148992,4000
和家欣苑A区,宝山,顾村,和家欣苑A区,60,南,1室1厅1卫,SH1704361758820401152,3800
凌川佳苑,浦东,川沙,凌川佳苑,58,南,1室1厅1卫,SH1704368907319508992,3600
新凯城紫竹苑,松江,泗泾,新凯城紫竹苑,69,南 北,2室1厅1卫,SH1704419463551516672,4100
逸庭苑,松江,松江新城,逸庭苑,87,南,3室1厅1卫,SH1702880518271401984,4200
旭辉·公元,嘉定,安亭,旭辉·公元,70,南 北,2室2厅1卫,SH1702877103290056704,4200
鹤北新村,闵行,老闵行,鹤北新村,62,南,2室1厅1卫,SH1704475474391990272,3800
九峰小区,松江,松江老城,九峰小区,69,南,2室1厅1卫,SH1704476554106503168,3600
大宁路660弄,静安,大宁,大宁路660弄,29,南 北,1室1厅1卫,SH1704488717562937344,4000
金坤花园,闵行,金汇,金坤花园,42,北,1室0厅1卫,SH1704496348352479232,4200
馨佳园(菊泉街1280弄),宝山,顾村,馨佳园(菊泉街1280弄),54,南,1室1厅1卫,SH1704713890878717952,4000
玉田新村,虹口,曲阳,玉田新村,37,南,1室0厅1卫,SH1700493927934590976,3700
虹浦新城南区,闵行,闵浦,虹浦新城南区,77,南,3室1厅1卫,SH1700484981240889344,4000
延平路461弄,静安,曹家渡,延平路461弄,38,南,1室1厅1卫,SH1700497630515167232,4000
保利西子湾,松江,松江大学城,保利西子湾,90,南 北,2室2厅1卫,SH1700733274810220544,4000
底特律财富天地,嘉定,安亭,底特律财富天地,63,南,3室1厅1卫,SH1688829310065967104,3600
卓越世纪中心(青浦),青浦,盈浦,卓越世纪中心(青浦),72,南,2室1厅1卫,SH1688813582306770944,3600
中洲华庭,浦东,新场,中洲华庭,88,南 北,3室2厅1卫,SH1690325204099661824,4000
海棠馨苑南区,青浦,徐泾,海棠馨苑南区,67,南,2室1厅1卫,SH1690555719264239616,4000
高兴花园二三四街坊,闵行,春申,高兴花园二三四街坊,36,南,1室1厅1卫,SH1690672933367709696,3800
招远小区,浦东,梅园,招远小区,29,南,1室1厅1卫,SH1690719745780744192,4200
旭辉·公元,嘉定,安亭,旭辉·公元,69,南,2室1厅1卫,SH1690925444318101504,3800
招商南桥雅苑,奉贤,南桥,招商南桥雅苑,82,南,2室2厅1卫,SH1691016940128043008,3600
杨泰三村,宝山,杨行,杨泰三村,74,南,2室1厅1卫,SH1691065505076477952,4200
崇业小区,杨浦,东外滩,崇业小区,29,南,1室0厅1卫,SH1691084272510697472,4200
星颂家园,浦东,曹路,星颂家园,79,南,2室2厅1卫,SH1689277916698902528,4200
控江西三村,杨浦,黄兴公园,控江西三村,39,南,1室1厅1卫,SH1689496361994551296,3600
民星一村,杨浦,中原,民星一村,39,南,1室1厅1卫,SH1689498558870323200,4000
和新小区,静安,彭浦,和新小区,35,南,1室1厅1卫,SH1689562483859128320,3800
中展瑞景,松江,松江大学城,中展瑞景,53,南,2室1厅1卫,SH1689574503673233408,4000
华二小区(虹口),虹口,凉城,华二小区(虹口),41,南,1室1厅1卫,SH1689856699940208640,4200
环绿国际,宝山,顾村,环绿国际,68,南,1室2厅1卫,SH1689910814498095104,4000
和景商务楼,浦东,金杨,和景商务楼,43,南,1室1厅1卫,SH1689984326717931520,3700
圣天地服务式公寓,普陀,长寿路,圣天地服务式公寓,32,北 东北,1室1厅1卫,SH1695389452978880512,4200
牡丹逸庭,松江,泗泾,牡丹逸庭,72,南,2室1厅1卫,SH1692750553186041856,3700
彭新小区,静安,彭浦,彭新小区,29,南,1室0厅1卫,SH1692756718783561728,4000
菊泉新城(陆翔路698弄),宝山,顾村,菊泉新城(陆翔路698弄),80,南 北,2室1厅1卫,SH1692753311372935168,3900
聚贤煌都,奉贤,南桥,聚贤煌都,125,南,3室2厅2卫,SH1692796140480626688,4200
延吉四村,杨浦,黄兴公园,延吉四村,35,南,1室1厅1卫,SH1684451742869094400,4000
凤城二村,杨浦,控江路,凤城二村,38,南,1室1厅1卫,SH1684768807798702080,3900
崧泽华城逸泰雅苑（二期）,青浦,赵巷,崧泽华城逸泰雅苑（二期）,69,南,2室1厅1卫,SH1684824295127121920,4000
欣乐苑（东苑）,青浦,华新,欣乐苑（东苑）,55,南,1室1厅1卫,SH1684841112801378304,3800
上炼二村,浦东,外高桥,上炼二村,54,南 北,2室0厅1卫,SH1684915778962325504,3700
嘉涛湾,青浦,朱家角,嘉涛湾,371,南 北,4室2厅3卫,SH1692827757840433152,4000
保利西子湾,松江,松江大学城,保利西子湾,59,南,1室1厅1卫,SH1692829514146512896,4200
广中二村,虹口,凉城,广中二村,32,南,1室1厅1卫,SH1687087455678758912,4200
临沂八村,浦东,南码头,临沂八村,36,南,1室1厅1卫,SH1693124566232072192,4200
江浦路1275弄,杨浦,周家嘴路,江浦路1275弄,36,南,1室1厅1卫,SH1685518844845621248,4000
上大东村,静安,大宁,上大东村,36,南,1室1厅1卫,SH1685485161212280832,3800
欣乐苑（西苑）,青浦,华新,欣乐苑（西苑）,74,南 北,2室1厅1卫,SH1688064273252614144,3800
市光一村,杨浦,中原,市光一村,50,南,2室0厅1卫,SH1688046715363393536,4200
旭辉·公元,嘉定,安亭,旭辉·公元,70,南,2室2厅1卫,SH1693140209295687680,3800
岳州路371弄,虹口,临平路,岳州路371弄,29,南,1室1厅1卫,SH1693259842489155584,3600
曹杨三村(兰岭园),普陀,曹杨,曹杨三村(兰岭园),41,南,1室1厅1卫,SH1687094703733866496,3600
保利西子湾,松江,松江大学城,保利西子湾,59,南,1室1厅1卫,SH1692829514146512896,4200
崇文路1851弄,嘉定,嘉定新城,崇文路1851弄,55,东,2室1厅1卫,SH1692832939080941568,4000
上大东村,静安,大宁,上大东村,36,南,1室1厅1卫,SH1685485161212280832,3800
康平小区,静安,彭浦,康平小区,35,南,1室0厅1卫,SH1685620332183945216,3800
安阁苑,浦东,周浦,安阁苑,71,南 北,2室1厅1卫,SH1688070259245842432,3900
旭辉·公元,嘉定,安亭,旭辉·公元,70,南,2室2厅1卫,SH1693140209295687680,3800
南新西园,浦东,外高桥,南新西园,55,南,1室1厅1卫,SH1693241733363531776,4000
桃浦十村（紫藤苑小区白丽路701弄）,普陀,桃浦,桃浦十村（紫藤苑小区白丽路701弄）,54,南,2室0厅1卫,SH1702970542794997760,3800
新顾村大家园A区,宝山,顾村,新顾村大家园A区,60,南,2室1厅1卫,SH1705133544814149632,3600
德州二村,浦东,世博,德州二村,37,南,1室1厅1卫,SH1705225820798189568,4200
逸庭苑,松江,松江新城,逸庭苑,122,南,2室1厅1卫,SH1703286525300572160,4200
长乐路669号,徐汇,衡山路,长乐路669号,13,北,1室1厅0卫,SH1703341466538999808,4000
延长中路451弄,静安,大宁,延长中路451弄,36,南,1室1厅1卫,SH1703357639481622528,4200
共康四村,静安,彭浦,共康四村,37,南,1室1厅1卫,SH1703356018123079680,3900
真建七街坊,嘉定,丰庄,真建七街坊,50,南,1室1厅1卫,SH1703359972718411776,3900
东体小区,虹口,曲阳,东体小区,26,北,1室1厅1卫,SH1703370301984735232,3900
控江东三村,杨浦,黄兴公园,控江东三村,39,南,1室1厅1卫,SH1703385617821335552,4200
通河八村,宝山,通河,通河八村,44,南,1室1厅1卫,SH1700721797600641024,3700
万寿新村(青浦),青浦,盈浦,万寿新村(青浦),68,南,1室2厅1卫,SH1700763911285899264,3700
密云小区,杨浦,鞍山,密云小区,31,南,1室1厅1卫,SH1691778224700260352,4200
新凯城香樟苑,松江,泗泾,新凯城香樟苑,69,南,2室1厅1卫,SH1692013425065984000,4000
共康四村,静安,彭浦,共康四村,50,南 北,2室1厅1卫,SH1690299212102631424,3800
臻澜苑,闵行,老闵行,臻澜苑,65,南,1室1厅1卫,SH1685644587562958848,3800
中怡家园,宝山,顾村,中怡家园,84,南,2室2厅1卫,SH1693519183578398720,4000
光华园,徐汇,上海南站,光华园,40,南,1室1厅1卫,SH1693461035920392192,3800
瑞和雅苑肆街区,闵行,闵浦,瑞和雅苑肆街区,73,南,2室1厅1卫,SH1693820137594945536,4000
崧泽华城秀景苑(二期),青浦,赵巷,崧泽华城秀景苑(二期),79,南,3室1厅1卫,SH1684169662352326656,4000
福都广场锋尚99,松江,松江新城,福都广场锋尚99,49,南,2室2厅1卫,SH1684417185528676352,3800
